date,country,region,accomodation type,price,currency,memo
2022/5/16,JPN,Kobe,ParentsHouse,0,JPY,-
2022/5/17,UNK,-,Airplane,0,JPY,-
2022/5/18,AUS,Sydney,Domitory,3165,JPY,Expedia
2022/5/19,AUS,katoomba,Domitory,26.5,AUD,-
2022/5/20,AUS,katoomba,Domitory,26.5,AUD,-
2022/5/21,AUS,-,Bus,0,JPY,-
2022/5/22,AUS,Melbourne,SingleRoom,50,AUD,-
2022/5/23,AUS,Melbourne,Domitory,30,AUD,-
2022/5/24,AUS,Island Philip,Domitory,33.75,AUD,-
2022/5/25,AUS,Island Philip,Domitory,33.75,AUD,-
2022/5/26,AUS,Melbourne,Domitory,25.11,AUD,-
2022/5/27,AUS,Adelaide,Domitory,28.24,AUD,-
2022/5/28,AUS,Adelaide,SingleRoom,89,AUD,-
2022/5/29,AUS,Adelaide,Domitory,26.99,AUD,-
2022/5/30,AUS,-,Bus,0,JPY,-
2022/5/31,AUS,Alice Springs,Domitory,31,AUD,-
2022/6/1,AUS,Alice Springs,Domitory,31,AUD,-
2022/6/2,AUS,Alice Springs,Domitory,31,AUD,-
2022/6/3,AUS,-,Bus,0,JPY,-
2022/6/4,AUS,darwin,Domitory,32.4,AUD,-
2022/6/5,AUS,darwin,Domitory,32.4,AUD,-
2022/6/6,AUS,darwin,Domitory,32.4,AUD,-
2022/6/7,AUS,cairns,Domitory,20.16,AUD,-
2022/6/8,AUS,cairns,Domitory,22,AUD,-
2022/6/9,AUS,palm cove,Domitory,43,AUD,-
2022/6/10,AUS,cairns,Domitory,22,AUD,-
2022/6/11,AUS,cairns,Domitory,22,AUD,-
2022/6/12,AUS,townsville,Domitory,27,AUD,-
2022/6/13,AUS,Airlie Beach,Domitory,27,AUD,-
2022/6/14,AUS,Airlie Beach,Domitory,27,AUD,-
2022/6/15,AUS,Airlie Beach,Domitory,27,AUD,-
2022/6/16,AUS,-,Bus,0,JPY,-
2022/6/17,AUS,Brisbane,Domitory,41.16,AUD,-
2022/6/18,AUS,Gold coast,Domitory,19.44,AUD,-
2022/6/19,AUS,Gold coast,Domitory,19.44,AUD,-
2022/6/20,AUS,Brisbane,Domitory,27.72,AUD,-
2022/6/21,AUS,Coffs Harbour,Domitory,27,AUD,-
2022/6/22,AUS,Newcastle,Domitory,28.5,AUD,-
2022/6/23,AUS,Newcastle,Domitory,28.5,AUD,-
2022/6/24,AUS,Sydney,Domitory,23.49,AUD,-
2022/6/25,AUS,Sydney,Domitory,23.49,AUD,-
2022/6/26,AUS,Sydney,Domitory,32.76,AUD,-
2022/6/27,JPN,Kobe,ParentsHouse,0,JPY,-
2022/6/28,JPN,Kobe,ParentsHouse,0,JPY,-
2022/6/29,JPN,Kobe,ParentsHouse,0,JPY,-
2022/6/30,JPN,Kobe,ParentsHouse,0,JPY,-
2022/7/1,JPN,-,Ferry,0,JPY,-
2022/7/2,JPN,Hakata,Domitory,2640,JPY,-
2022/7/3,JPN,-,Ferry,0,JPY,-
2022/7/4,JPN,Kobe,ParentsHouse,0,JPY,-
2022/7/5,JPN,Kobe,ParentsHouse,0,JPY,-
2022/7/6,JPN,Kobe,ParentsHouse,0,JPY,-
2022/7/7,JPN,Kobe,ParentsHouse,0,JPY,-
2022/7/8,JPN,Toyoka,Domitory,2673,JPY,-
2022/7/9,JPN,Toyoka,Domitory,2100,JPY,with my firend
2022/7/10,JPN,Kobe,ParentsHouse,0,JPY,-
2022/7/11,JPN,Kobe,ParentsHouse,0,JPY,-
2022/7/12,JPN,Kobe,ParentsHouse,0,JPY,-
2022/7/13,USA,Anchorage,Domitory,59.83,USD,Airplane night
2022/7/14,USA,Anchorage,SingleRoom,150,USD,-
2022/7/15,USA,Anchorage,SingleRoom,150,USD,-
2022/7/16,USA,Anchorage,SingleRoom,150,USD,-
2022/7/17,CAN,Vancouver,Domitory,54.27,CAD,Expedia
2022/7/18,CAN,Vancouver,Domitory,5532,JPY,-
2022/7/19,CAN,Vancouver,Domitory,5532,JPY,-
2022/7/20,CAN,Nanaimo,Domitory,55.68,CAD,-
2022/7/21,CAN,Vancouver,Domitory,46.99,CAD,-
2022/7/22,CAN,-,Train,0,JPY,-
2022/7/23,CAN,Edomonton,Domitory,39.81,CAD,-
2022/7/24,CAN,Edomonton,Domitory,39.81,CAD,-
2022/7/25,CAN,Saskatoon,SingleRoom,66.6,CAD,-
2022/7/26,CAN,Saskatoon,SingleRoom,66.6,CAD,-
2022/7/27,CAN,Regina,SingleRoom,66.6,CAD,-
2022/7/28,CAN,Regina,SingleRoom,66.6,CAD,-
2022/7/29,CAN,-,Bus,0,JPY,-
2022/7/30,CAN,Winnipeg,SingleRoom,46.79,CAD,-
2022/7/31,CAN,-,Train,0,JPY,-
2022/8/1,CAN,-,Train,0,JPY,-
2022/8/2,CAN,Toronto,Domitory,46,CAD,-
2022/8/3,CAN,Toronto,Domitory,46.68,CAD,-
