"context	",type,date,country,region,price,currency,memo
Overseas travel insurance for 2 years,Insurance,2022/5/16,UNK,-,465250,JPY,-
with limited pass for 30 days,Ticket,2022/5/19,AUS,-,450,AUD,-
St.Mery church,Visiting,2022/5/19,AUS,Sydney,0,AUD,-
Blue Mountains,Trekking,2022/5/20,AUS,katoomba,0,AUD,-
Echo Point,Overviewing,2022/5/20,AUS,katoomba,0,AUD,-
AUS national museum,Visiting,2022/5/21,AUS,Sydney,0,AUD,-
Melbourne zoo,Visiting,2022/5/22,AUS,Melbourne,40,AUD,-
The Royal Museum,Visiting,2022/5/23,AUS,Melbourne,0,AUD,-
Ramen lunch,Eatery,2022/5/23,AUS,Melbourne,15.5,AUD,-
St.Patric cathedral,Visiting,2022/5/23,AUS,Melbourne,0,AUD,-
island philip beach,Walking,2022/5/23,AUS,island Philip,0,AUD,-
couldn't enter my room,Accident,2022/5/25,AUS,island Philip,0,AUD,-
Had a fever,Accident,2022/5/25,AUS,island Philip,0,AUD,-
Bus Lunch,Eating,2022/5/27,AUS,Melbourne,9.5,AUD,-
moana beach,Walking,2022/5/28,AUS,Adelaide,0,AUD,-
Garlic bread and beer,Restaurant,2022/5/28,AUS,Adelaide,15,AUD,-
belair,Trekking,2022/5/29,AUS,Adelaide,0,AUD,-
Electric kickboard,KickBoard,2022/5/30,AUS,Adelaide,5,AUD,-
Adelaide art museum,Visiting,2022/5/30,AUS,Adelaide,5,AUD,-
St.Petro Cathedral,Visiting,2022/5/30,AUS,Adelaide,0,AUD,-
Adelaide library,Heritage,2022/5/30,AUS,Adelaide,0,AUD,-
light Viewing spot,Walking,2022/5/30,AUS,Adelaide,0,AUD,-
Alice springs mountans,Trekking,2022/6/1,AUS,Alice Springs,0,AUD,-
lost my mountain jacket,Accident,2022/6/2,AUS,Alice Springs,0,AUD,-
Alice springs dessert park,Cycring,2022/6/2,AUS,Alice Springs,45,AUD,-
Burgar king,BugerShop,2022/6/3,AUS,Alice Springs,11.5,AUD,-
telegraph station,Heritage,2022/6/3,AUS,Alice Springs,16,AUD,-
river side Walking,Walking,2022/6/3,AUS,Alice Springs,0,AUD,-
Alice springs mountans,Trekking,2022/6/3,AUS,Alice Springs,0,AUD,-
anzac hill,Trekking,2022/6/3,AUS,Alice Springs,0,AUD,-
shower fee,Other,2022/6/3,AUS,Alice Springs,5,AUD,-
waintg a bus in gas station for 1 hour,Accident,2022/6/3,AUS,Alice Springs,0,AUD,-
Practing a boomerang with old man ,Walking,2022/6/5,AUS,Darwin,0,AUD,-
1 day pass for darwin,Ticket,2022/6/6,AUS,Darwin,7,AUD,-
ice cream and cola,Snack,2022/6/6,AUS,Darwin,9,AUD,-
around with water front,Walking,2022/6/6,AUS,Darwin,0,AUD,-
mindir beach,Walking,2022/6/6,AUS,Darwin,0,AUD,-
east point,Walking,2022/6/6,AUS,Darwin,0,AUD,-
darwin national park,Walking,2022/6/6,AUS,Darwin,0,AUD,-
The Museum and Art Gallery of the Northern Territory ,Visiting,2022/6/7,AUS,Darwin,0,AUD,-
coffee,Drink,2022/6/7,AUS,Darwin,4.5,AUD,-
over baggage weight fee,Accident,2022/6/7,AUS,Darwin,45,AUD,-
Eating in the airport,Eating,2022/6/7,AUS,Darwin,24,AUD,-
Cairns beach,Walking,2022/6/8,AUS,Cairns,0,AUD,-
lunch,Restaurant,2022/6/9,AUS,palm cove,15,AUD,-
palm cove beach,Walking,2022/6/9,AUS,palm cove,0,AUD,-
sky rail,CableCar,2022/6/10,AUS,Cairns,89,AUD,-
Curanda village,Walking,2022/6/10,AUS,Cairns,0,AUD,-
