transpotation,start,-,-,-,end,-,-,-,-,-,-,-,-,,
type,date,country,region,type,type,date,country,region,type,time(Min),price,currency,memo,,
Train,2022/5/17,JPN,Kobe,Station,2022/5/17,JPN,Osaka,Station,92,120,2230,JPY,-,,
AirPlane,2022/5/17,JPN,Osaka,AirPort,2022/5/17,JPN,Tokyo,AirPort,537,60,10000,JPY,-,,
AirPlane,2022/5/17,JPN,Tokyo,AirPort,2022/5/18,AUS,Sydney,AirPort,7821,590,37685,JPY,-,,
Subway,2022/5/18,AUS,Sydney,AirPort,2022/5/18,AUS,Sydney,Central,11.4,10,16,AUD,-,,
Train,2022/5/19,AUS,Sydney,Station,2022/5/19,AUS,katoomba,Station,102,120,8.6,AUD,-,,
Train,2022/5/20,AUS,katoomba,Station,2022/5/20,AUS,katoomba,Suberb,10.8,25,4,AUD,Blackheath,,
Train,2022/5/20,AUS,katoomba,Station,2022/5/20,AUS,katoomba,Station,10.8,25,4,AUD,-,,
Train,2022/5/21,AUS,katoomba,Station,2022/5/19,AUS,Sydney,Station,102,120,8.6,AUD,-,,
Bus,2022/5/21,AUS,Sydney,Station,2022/5/22,AUS,Melbourne,Station,949,720,0,AUD,WithLimitedPass,,
Bus,2022/5/24,AUS,Melbourne,Station,2022/5/24,AUS,Island Philip,Inn,126,150,10,AUD,Newhevens,,
Bus,2022/5/24,AUS,Island Philip,Inn,2022/5/24,AUS,Island Philip,Central,14.5,30,3.3,AUD,Cowes,,
Bus,2022/5/24,AUS,Island Philip,Central,2022/5/24,AUS,Island Philip,Inn,14.5,30,3.3,AUD,Newhevens,,
Bus,2022/5/25,AUS,Island Philip,Inn,2022/5/25,AUS,Island Philip,Central,14.5,30,3.3,AUD,Cowes,,
Bus,2022/5/25,AUS,Island Philip,Central,2022/5/25,AUS,Island Philip,Inn,14.5,30,3.3,AUD,Newhevens,,
Bus,2022/5/26,AUS,Island Philip,Inn,2022/5/26,AUS,Melbourne,Station,126,150,10,AUD,-,,
Train,2022/5/27,AUS,Melbourne,Station,2022/5/27,AUS,Adelaide,Station,726,600,165,AUD,-,,
Train,2022/5/28,AUS,Adelaide,Station,2022/5/28,AUS,seaford,Stop,35.9,60,4.25,AUD,-,,
Bus,2022/5/28,AUS,Seaford,Stop,2022/5/28,AUS,Seaford,Beach,3.8,15,4.25,AUD,Moana,,
Bus,2022/5/28,AUS,Seaford,Beach,2022/5/28,AUS,Seaford,Stop,3.8,15,4.25,AUD,-,,
Train,2022/5/28,AUS,seaford,Stop,2022/5/28,AUS,Adelaide,Station,35.9,60,4.25,AUD,-,,
Train,2022/5/29,AUS,Adelaide,Station,2022/5/29,AUS,belair,Station,9.7,60,4.25,AUD,-,,
Train,2022/5/29,AUS,belair,Station,2022/5/29,AUS,Adelaide,Station,9.7,60,4.25,AUD,-,,
Train,2022/5/29,AUS,Adelaide,Station,2022/5/29,AUS,Adelaide,Port,26.6,60,4.25,AUD,Outer harbar,,
Train,2022/5/29,AUS,Adelaide,Port,2022/5/29,AUS,Adelaide,Port,9.1,30,4.25,AUD,Port Adelaide,,
Train,2022/5/29,AUS,Adelaide,Port,2022/5/29,AUS,Adelaide,Station,15.1,60,4.25,AUD,-,,
Bus,2022/5/30,AUS,Adelaide,Stop,2022/5/31,AUS,Alice Springs,Stop,1534,1200,0,AUD,WithLimitedPass,,
